Date,Site,Price
2021-06-10 21:41,Cardhoarder,20.21 tix
2021-06-11 07:23,Cardhoarder,19.84 tix
2021-06-11 11:43,Cardhoarder,19.07 tix
2021-06-11 15:54,Cardhoarder,19.28 tix
2021-06-12 09:32,Cardhoarder,18.57 tix
2021-06-12 10:56,Cardhoarder,18.57 tix
2021-06-12 16:28,Cardhoarder,18.62 tix
2021-06-12 19:49,Cardhoarder,21.35 tix
2021-06-13 08:17,Cardhoarder,20.27 tix
2021-06-13 12:06,Cardhoarder,18.08 tix
2021-06-13 18:46,Cardhoarder,14.93 tix
2021-06-14 09:00,Cardhoarder,12.75 tix
2021-06-14 12:00,Cardhoarder,11.78 tix
2021-06-14 15:00,Cardhoarder,11.50 tix
2021-06-15 09:00,Cardhoarder,13.21 tix
2021-06-15 12:00,Cardhoarder,12.70 tix
2021-06-15 15:00,Cardhoarder,11.13 tix
2021-06-15 18:00,Cardhoarder,11.84 tix
2021-06-15 21:00,Cardhoarder,12.37 tix
2021-06-16 09:00,Cardhoarder,15.69 tix
2021-06-16 12:00,Cardhoarder,15.69 tix
2021-06-16 15:00,Cardhoarder,17.01 tix
2021-06-16 18:00,Cardhoarder,15.62 tix
2021-06-17 09:00,Cardhoarder,17.46 tix
2021-06-17 13:14,Cardhoarder,16.89 tix
2021-06-17 15:00,Cardhoarder,16.89 tix
2021-06-17 21:00,Cardhoarder,16.81 tix
2021-06-18 09:00,Cardhoarder,16.16 tix
2021-06-18 13:05,Cardhoarder,15.48 tix
2021-06-18 15:00,Cardhoarder,15.59 tix
2021-06-18 18:00,Cardhoarder,13.67 tix
2021-06-19 09:00,Cardhoarder,12.12 tix
2021-06-19 13:21,Cardhoarder,13.25 tix
2021-06-19 15:33,Cardhoarder,14.09 tix
2021-06-19 18:00,Cardhoarder,14.09 tix
2021-06-20 09:00,Cardhoarder,19.36 tix
2021-06-20 12:00,Cardhoarder,20.17 tix
2021-06-20 15:00,Cardhoarder,20.28 tix
2021-06-21 09:00,Cardhoarder,22.98 tix
2021-06-21 12:00,Cardhoarder,22.54 tix
2021-06-21 15:00,Cardhoarder,22.47 tix
2021-06-21 18:47,Cardhoarder,22.35 tix
2021-06-22 09:00,Cardhoarder,19.75 tix
2021-06-22 12:00,Cardhoarder,16.97 tix
2021-06-22 15:00,Cardhoarder,17.51 tix
2021-06-22 18:00,Cardhoarder,17.16 tix
2021-06-23 09:00,Cardhoarder,14.09 tix
2021-06-23 12:00,Cardhoarder,14.55 tix
2021-06-23 15:00,Cardhoarder,14.83 tix
2021-06-24 09:00,Cardhoarder,22.22 tix
2021-06-24 12:00,Cardhoarder,23.34 tix
2021-06-24 15:00,Cardhoarder,21.48 tix
2021-06-24 18:00,Cardhoarder,21.88 tix
2021-06-25 09:00,Cardhoarder,25.03 tix
2021-06-25 12:00,Cardhoarder,26.64 tix
2021-06-25 15:00,Cardhoarder,26.64 tix
2021-06-25 18:00,Cardhoarder,27.56 tix
2021-06-26 09:00,Cardhoarder,31.56 tix
2021-06-26 12:00,Cardhoarder,30.14 tix
2021-06-26 15:00,Cardhoarder,25.01 tix
2021-06-26 18:00,Cardhoarder,25.24 tix
2021-06-27 09:00,Cardhoarder,19.35 tix
2021-06-27 12:00,Cardhoarder,18.11 tix
2021-06-27 15:00,Cardhoarder,19.83 tix
2021-06-27 20:42,Cardhoarder,17.16 tix
2021-06-28 07:29,Cardhoarder,19.12 tix
2021-06-28 09:00,Cardhoarder,17.87 tix
2021-06-28 12:00,Cardhoarder,15.00 tix
2021-06-28 15:00,Cardhoarder,15.29 tix
2021-06-28 18:00,Cardhoarder,15.21 tix
2021-06-29 09:00,Cardhoarder,14.21 tix
2021-06-29 12:00,Cardhoarder,14.45 tix
2021-06-29 15:00,Cardhoarder,13.03 tix
2021-06-29 18:00,Cardhoarder,13.03 tix
2021-06-29 21:14,Cardhoarder,14.83 tix
2021-06-30 09:00,Cardhoarder,14.24 tix
2021-06-30 12:00,Cardhoarder,13.60 tix
2021-06-30 15:00,Cardhoarder,14.41 tix
2021-06-30 21:00,Cardhoarder,23.33 tix
2021-07-01 09:00,Cardhoarder,19.85 tix
2021-07-01 12:00,Cardhoarder,19.85 tix
2021-07-01 15:00,Cardhoarder,19.85 tix
2021-07-01 18:03,Cardhoarder,15.62 tix
2021-07-02 09:00,Cardhoarder,16.29 tix
2021-07-02 11:49,Cardhoarder,16.29 tix
2021-07-02 18:00,Cardhoarder,15.36 tix
2021-07-05 06:56,Cardhoarder,18.43 tix
